Nom_vaccin;01-01-15;01-02-15;01-03-15;01-04-15;01-05-15;01-06-15;01-07-15;01-08-15;01-09-15;01-10-15;01-11-15;01-12-15;01-01-16;01-02-16;01-03-16;01-04-16;01-05-16;01-06-16;01-07-16;01-08-16;01-09-16;01-10-16;01-11-16;01-12-16;01-01-17;01-02-17;01-03-17;01-04-17;01-05-17;01-06-17;01-07-17;01-08-17;01-09-17;01-10-17;01-11-17;01-12-17;01-01-18;01-02-18;01-03-18;01-04-18;01-05-18;01-06-18;01-07-18;01-08-18;01-09-18;01-10-18;01-11-18;01-12-18;01-01-19;01-02-19;01-03-19;01-04-19;01-05-19;01-06-19;01-07-19;01-08-19;01-09-19;01-10-19;01-11-19;01-12-19;01-01-20;01-02-20;01-03-20;01-04-20;01-05-20;01-06-20;01-07-20;01-08-20;01-09-20;01-10-20;01-11-20;01-12-20;01-01-21;01-02-21;01-03-21
PENTAVAC;3380;2059;1547;885;566;578;399;1037;8577;3501;2113;3076;3070;3910;5901;9396;12754;13767;13789;12694;18080;14553;12454;10472;11021;9524;11956;9747;11102;11692;10234;8646;12044;9799;7871;6430;6481;5573;5191;4619;4574;4804;4228;3146;4562;3908;2926;2229;2252;2052;2410;2317;2152;2182;2007;1547;2376;1919;1462;1271;1294;1241;1023;633;915;1415;1321;1040;1623;1344;1085;1061;945;928;1007
PNEUMO 23;30278;24860;23707;19007;15713;19165;14421;14864;42147;74492;65629;41611;20779;12797;10122;7087;29458;22719;16341;15721;34486;68507;64184;45397;35151;25568;25410;18874;19987;16135;7221;2060;657;296;122;78;69;43;68;88;75;70;47;38;27;42;27;23;18;22;18;9;14;13;11;6;17;17;12;13;15;9;24;5;3;9;9;7;12;22;9;13;5;7;3
PNEUMOVAX;6;3;3;4;3;2;1;1;5;5;3;5;2;4;1;0;1;0;0;0;1;4;2;0;1;1;0;0;1;2;155;490;18665;37996;19564;27669;11761;13499;11213;13740;31884;37341;24808;25820;39498;68776;74756;52527;46126;35866;33326;30209;27862;26725;25179;23153;42256;69006;64931;56053;49614;44581;56121;27488;31655;35687;32578;29148;70118;107661;85067;64652;46278;32435;27521
PREVENAR;195831;176366;215452;185281;171410;201823;183078;155044;228148;208435;215272;200767;191072;184519;203920;180220;192624;185601;169313;170151;224842;206264;210791;191234;204722;169357;206267;163381;190506;190985;177661;168561;220686;235150;222104;197853;214970;188699;211673;187142;194739;197083;195984;170488;222634;260064;245953;206647;223148;188167;212436;204518;205563;189905;199317;178374;239581;266136;240141;225116;227028;199004;235444;179467;183750;220319;211968;172439;269133;284698;257131;224823;204774;178025;205845
PRIORIX;36040;23185;23465;13877;13332;19462;15968;15056;25529;33474;877950;136341;111248;114661;123885;110051;120318;125606;105589;97113;154016;133359;123468;112697;121263;107064;130251;103353;122787;127017;113656;99643;150187;143812;122908;106502;125005;144154;166535;142027;135489;143497;138322;106221;155998;158771;134040;114983;38409;23182;151114;317051;144297;137278;139680;111197;164843;162571;132457;128789;137045;125869;118738;90611;115753;150806;133998;103069;163986;146777;138461;130241;132504;123336;145045
REPEVAX;108515;114839;136232;65172;17166;94403;131694;132691;240583;114797;168746;169465;125557;146959;149479;132058;139508;158118;116728;35326;75078;36844;19390;61851;46264;62835;71307;79929;103085;41139;17019;67141;147397;151358;116957;98440;116539;122784;135398;126504;124499;152658;150285;118990;169889;179017;141392;111798;125195;124288;140336;147126;149452;156832;163194;129891;190911;192538;144675;135689;142294;144997;115683;51804;94226;168006;158657;124923;190530;174743;136815;131858;123285;126018;144905
REVAXIS;51250;54522;67557;71840;67359;96232;79708;62486;110026;71836;30081;30150;48632;65767;67286;60757;66319;73904;65859;61608;91728;74244;62930;54499;58464;59572;76801;69633;79672;97493;93895;74634;96565;87096;67415;53866;60943;64856;70914;67523;70045;79224;76171;60000;78291;81905;65193;52326;59743;56062;65474;67745;68241;68643;69933;56325;74852;75951;58230;52985;56730;57555;46328;23625;43842;74528;66702;52652;73411;66982;53221;52177;48032;48515;55578
ROR;6;5;74;3;1;5;4;0;5;5;86;14;2;3;6;7;8;3;5;8;8;6;9;8;10;4;4;1;3;3;2;5;5;4;1;1;5;6;4;1;5;5;3;3;3;5;1;4;0;0;4;5;4;5;2;2;5;1;1;1;1;0;0;1;2;2;5;1;0;2;1;2;;;
ROUVAX;89;120;129;99;128;225;182;109;139;111;107;121;80;106;96;122;116;143;139;87;137;107;120;112;92;105;121;104;145;120;96;108;125;138;107;86;70;68;34;4;0;2;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;;;
RUDIVAX;1;2;5;1;1;2;1;2;2;1;1;0;1;4;1;2;0;1;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;1
TETRAVAC-ACELLULAIRE;36495;20752;13661;8933;4463;4739;2268;1281;2632;1275;1403;734;606;573;441;3136;10801;18878;19650;26122;44915;36327;33328;31590;40072;34786;22829;20185;44382;90434;110290;65464;78568;63619;45309;35592;44079;47028;48742;47683;41634;55574;57057;46510;92309;80034;54814;43106;51387;51575;54696;61197;61779;72131;74501;57521;115459;97967;59789;53352;55673;59362;41918;17071;39414;82792;77458;62812;127966;97401;62897;56836;54861;59993;67642
VACCIN BCG SSI;6816;4299;3329;1718;1259;1125;2648;3841;8630;8224;3694;5655;4531;2560;1570;653;420;328;194;160;161;105;72;91;88;59;64;30;44;41;63;38;40;42;32;24;61;19;25;14;38;34;12;10;33;74;23;8;18;7;4;5;6;9;15;7;17;11;3;11;5;5;4;9;7;5;2;1;20;1;3;0;1;1;2
VACCIN DT POLIO MERIEUX;0;0;1;1;2;0;0;1;0;1;2;2;0;1;1;1;0;1;0;1;0;4;2;1;0;0;0;1;0;2;0;0;2;0;0;0;1;0;0;1;2;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;;;;;;;;;
VACCIN DTCOQ POLIO ACT-HIB(conditionnement);;;;;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
VACCIN DTP PASTEUR;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;2;0;1;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
VACCIN GENHEVAC B PASTEUR;8234;8403;9535;8379;7289;10550;10461;9112;12864;11364;9030;9171;8571;9141;9334;8524;8561;10144;11394;13631;7680;1852;535;174;135;93;67;45;29;36;27;21;16;11;11;9;13;4;18;3;5;5;6;2;7;10;5;2;4;2;4;3;0;1;4;4;1;2;2;4;0;2;0;0;2;0;6;0;6;1;4;3;0;0;1
VACCIN TETANIQUE PASTEUR;7912;7884;10933;11714;11392;14557;12337;10524;12288;13307;13799;12530;10171;10355;11578;11394;12605;12148;11656;11342;12339;12600;11574;9573;8658;8990;11877;10239;10470;8024;4378;2589;2042;1652;1127;729;633;534;474;400;404;322;168;51;23;21;8;12;10;3;8;4;4;6;-1;4;2;3;3;2;2;4;1;0;1;1;1;0;2;1;3;0;3;0;1
VACCIN TETAVAX MERIEUX;7;5;7;4;1;5;4;6;2;7;5;4;1;2;3;5;3;3;6;3;5;4;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VACCIN TP PASTEUR;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VAQTA;0;0;0;0;0;0;0;0;0;807;1910;3052;4658;4447;4504;4211;4935;4599;4734;5410;6876;4522;2971;5075;5151;2014;963;753;816;476;1494;2252;1203;1556;3889;3974;6459;6100;6573;6374;5760;5901;5377;3214;3007;3076;2314;2162;4778;5315;4270;4166;4056;4275;6385;2805;4004;4446;2883;3195;4585;4462;2250;397;680;1215;1058;810;1032;829;604;740;636;543;570
VARILRIX;1701;1176;837;559;1378;2077;1690;993;1729;1495;2077;1741;1677;1827;2006;1845;1952;1996;1677;1160;1665;1526;1495;1490;1470;1373;1705;1618;1903;1853;1373;968;1477;1449;1248;1143;1590;1563;1970;1900;1911;2086;2184;1278;1562;1819;1622;1426;1530;1431;1626;1768;2093;2264;2285;1308;1837;1879;1533;1706;1701;1835;1766;758;983;1411;1429;997;1803;1721;1615;1668;1666;1747;1941
VARIVAX;1373;1572;2264;2573;2061;2405;1932;1120;1611;1529;1993;1593;1480;1817;1813;1817;1834;1989;1567;1146;1428;1339;1211;1233;1360;1288;1462;1468;1705;1949;1687;1246;1432;1540;1392;1388;1633;1642;1992;2004;2133;2208;1858;1344;1644;1877;1631;1604;1927;1795;2138;2815;2258;2475;2485;1618;1933;2000;1628;1635;1613;1308;1501;622;849;1259;1201;1008;1543;1488;1465;1594;1529;1713;2004
VAXELIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2979;3285;4682;6024;6494;6346;7855;7246;8627;8817;9584;9105;9792;9230;11963;12555;11943;11912;13430;11661;12103;12717;12247;13945;14133;11416;15811;14288;14502;14105;14337;12691;15465
VAXIGRIP;29478;6758;3769;2045;1016;1005;620;494;470;439263;2163649;671154;60319;16986;5136;2288;2095;1079;598;520;6877;1692257;1302068;318361;79762;8980;3065;1519;1981;1093;563;593;2087;1499128;1221209;314710;70506;8910;2814;1566;726;564;445;410;326;1816;937;-65;180;84;110;29;52;42;38;75;42;358;122;87;-15;25;3;2;5;15;5;3;1;179;178;146;110;41;7
VAXIGRIPTETRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;7;26;0;1;2;39;1676531;1639919;272300;27640;5213;7591;48843;20690;10175;4418;1859;1578;1588637;2069042;500954;107328;28705;6578;3058;1646;4291;2063;1224;1749;3670824;1341607;229523;145019;24148;7183
ZOSTAVAX;0;0;0;0;0;194;596;437;1256;2284;2393;2563;1972;2081;2616;3084;4350;3485;2407;2065;3270;5526;5543;3719;2908;2259;2197;1510;2028;1889;1414;1334;2023;3100;2723;2122;2055;2102;2251;2004;1959;2041;1788;1337;2124;3113;3102;2409;2301;2015;2190;2374;2410;2233;1970;1582;2615;3063;2718;2615;2519;2456;1897;680;1555;2659;2246;1704;3004;3081;2511;2574;1883;1636;1323
Total général;943490;839505;954288;846905;756406;1036730;908237;741796;1228994;2014818;6866153;2406098;1083671;1045452;1083397;956208;1046963;1103663;961587;911225;1383606;5051927;4069613;1644438;1150993;880473;1002741;811855;971755;1021443;951991;889500;1316958;5170336;4246473;1634437;1200343;1073316;1200298;1108777;1135210;1263166;1238638;1015142;1426732;5506411;5118417;1694169;1153574;969746;1248767;1554665;1268318;1255263;1304713;1073847;1551882;5122291;5728263;2196884;1457566;1236364;1144636;763528;952179;1348744;1271245;1020794;1591358;8211434;4389126;1856846;1392749;1117250;1266413
